id,name,description,image,location,stage,industry,subindustry,website
16,Epidem,Contact tracing software that helps organisations stop coronavirus by identifying exposed employees and their contacts.,https://res.cloudinary.com/crunchbase-production/image/upload/xzltlc1wllyhocqopsgo,"London, United Kingdom",No information,Software and Data,Software,https://epidem.co/
18,Riff,Riff is a voice-first chat tool for teams to communicate when working remotely.,https://res.cloudinary.com/crunchbase-production/image/upload/dlug3wsvcs8gd8icxtkt,"London, United Kingdom",No information,Software and Data,Enterprise Technology,https://getriff.co/
19,Excite Foundry,Data-driven digital brands aggregator,https://res.cloudinary.com/crunchbase-production/image/upload/uvl39djxkjgh1uods04m,"London, United Kingdom",No information,Ecommerce & Retail,Ecommerce,https://www.excitefoundry.com
20,Maven Screen Media.,"Maven Screen Media is a private media and entertainment development, production, and advisory company.",https://res.cloudinary.com/crunchbase-production/image/upload/eyqiajrmyzi2qj7g92sv,"London, United Kingdom",No information,Social & Leisure,Entertainment,https://www.mavenscreenmedia.com/
21,Karnak,An industrial manufacturing company,https://res.cloudinary.com/crunchbase-production/image/upload/hlu0r3vc5k4btxqstlli,"London, United Kingdom",No information,Hardware & IoT,Manufacturing,https://karnakholding.com
22,Domboard,Domain name monitoring platform,https://res.cloudinary.com/crunchbase-production/image/upload/h0gz5ecgzoffyhtpd35a,"London, United Kingdom",No information,Software and Data,Web Development,https://domboard.com
23,Atmen,Digital Bank or Financial Services,https://res.cloudinary.com/crunchbase-production/image/upload/ucl98lzyvacpw872kqlf,"London, United Kingdom",No information,Fintech,Online Banking,https://www.myatmen.com/
24,EnVsion,Deep video intelligence. Retrieve content that matters from hours of videos in seconds.,https://res.cloudinary.com/crunchbase-production/image/upload/vva9aefsdsrsbxt8gxno,"London, United Kingdom",No information,Software and Data,Artificial Intelligence,https://envsion.io
25,MATH++,MATH++ is an Internet education platform company .,https://res.cloudinary.com/crunchbase-production/image/upload/jxhhzxss0j83lxfexubq,"Beijing, China",No information,Education,Edtech,https://www.mathjia.cn/
26,Hina,Hina is a recruitment management system that helps to manage the recruitment process of candidates.,https://res.cloudinary.com/crunchbase-production/image/upload/4cf2a268cfef9d31246b,"Beijing, China",No information,Software and Data,Apps,https://www.hinapower.cn/
27,Anxinsec,Anxinsec is the first technical service provider in China to protect enterprise host security based on virtualization technology.,https://res.cloudinary.com/crunchbase-production/image/upload/f6elttipb1yitzci8a37,"Beijing, China",No information,Software and Data,Cybersecurity,https://www.anxinsec.com
28,AToken,The main product &lsquo;AToken&rsquo; is the first mobile wallet app which supports multiple coins and fast shift of coins in China.,https://res.cloudinary.com/crunchbase-production/image/upload/qysw9admxyd2wyacdct1,"Beijing, China",No information,Software and Data,Apps,https://www.atoken.com/
29,Laguo,"Laguo.com is an online, vertical recruitment platform.",https://res.cloudinary.com/crunchbase-production/image/upload/v1408692495/vbbt1ubz2ivmy196ciyf.png,"Beijing, China",No information,Software and Data,Enterprise Technology,http://laguo.com/
30,CHAINDIGG,Zhifan Tech is a service provider of blockchain big data analysis platform dedicated to enabling everyone to benefit ...,https://res.cloudinary.com/crunchbase-production/image/upload/xqsuarv3umssx9fgcy53,"Beijing, China",No information,Software and Data,Data Analytics,https://www.chaindigg.cn/
31,mayun.cn,mayun.cn is a mobile online trading platform for artworks.,https://res.cloudinary.com/crunchbase-production/image/upload/c32c3972d181030cad9b,"Beijing, China",No information,Social & Leisure,Arts,http://www.mayun.cn/
32,Shenshang Keji,Shenshang Keji offers AI solutions in the fashion industry.,https://res.cloudinary.com/crunchbase-production/image/upload/1bb315a0e1f7cf27476c,"Beijing, China",No information,Hardware & IoT,3D Printing,http://www.shenshangtech.com/
33,Qinglei Technology,Qinglei Technology is a radar sensing technology startup.,https://res.cloudinary.com/crunchbase-production/image/upload/kmk3sp6dwfavihhkql9i,"Beijing, China",No information,Hardware & IoT,Hardware & IoT-Other,https://www.qingleitech.com/
34,Tangbei,Tangbei is a video dating platform to share short video.,https://res.cloudinary.com/crunchbase-production/image/upload/30b8fc67e911ff67f907,"Beijing, China",No information,Social & Leisure,Social & Leisure-Other,http://www.tbok.com
36,Liangzi Xiangsu,Liangzi Xiangsu is an online marketplace for food and beverage.,https://res.cloudinary.com/crunchbase-production/image/upload/dc669e96550c68143032,"Beijing, China",No information,Ecommerce & Retail,Ecommerce,http://www.milinzone.com/
37,Xingshi,Xingshi is a stranger social media platform application.,https://res.cloudinary.com/crunchbase-production/image/upload/4e49dfa07a9181efcadf,"Beijing, China",No information,Software and Data,Apps,http://www.cijianlink.com/
38,Huabao Technology,Huabao Technology is an IOT smart device and ultra low power system developer,https://res.cloudinary.com/crunchbase-production/image/upload/hlfgjchgzqln0slgf1z8,"Beijing, China",No information,Software and Data,Enterprise Technology,http://www.baos.cn/
39,JD Health,JD Health is an e-commerce platform for pharmaceutical products.,https://res.cloudinary.com/crunchbase-production/image/upload/llsggxqoncgeiyu3nua6,"Beijing, China",No information,Ecommerce & Retail,Ecommerce,https://health.jd.com/
40,NeuralGalaxy,NeuralGalaxy is a brain science company which is devoted to solve brain disorders.,https://res.cloudinary.com/crunchbase-production/image/upload/yicrekuhotuq1ejnpk9p,"Beijing, China",No information,Health,Health Care,https://www.neuralgalaxy.com/
42,SEVEN,"SEVEN provides content marketing, brand upgrade and belt transformation services.",https://res.cloudinary.com/crunchbase-production/image/upload/e147418bc9be2fde6ed3,"Beijing, China",No information,Marketing & Sales,Adtech,http://www.seventailstech.com/
43,WeLink,"WeLink is B2B company that specializes in social data & social discovery with the following products.

WeLink Social - Process social media data by geo-location, time, keywords, emails, and social channels in a format that is easy to understand and manage. Achieve realtime social customer service like never before.

WeLink Community - Engage and retain your app users. With a couple of lines of code, integrate a private social community into any mobile or web app. Develop a 'truly social' app quickly and cost effectively.

WeLink Wall
Bring your media station to life with WeLink Wall. Our scrolling display provides real time pictures and tweets via location, keywords, and hashtags. Monetize and get detailed info on your customers.",https://res.cloudinary.com/crunchbase-production/image/upload/v1397190845/68cd613a122ddbf3612b5d68602c8c22.jpg,"San Jose, United States",No information,Social & Leisure,Social Media,http://www.welink.com/
44,SpiderStore,SpiderStore is a blockchain application platform.,https://res.cloudinary.com/crunchbase-production/image/upload/t0ox5j45clv7bpgy5h7l,"Beijing, China",No information,Software and Data,Apps,https://www.spider.store/
45,Seehome,Seehome is an artificial intelligence home design platform,https://res.cloudinary.com/crunchbase-production/image/upload/cbtjgnbdfvukgww2tv5u,"Beijing, China",No information,Software and Data,Artificial Intelligence,https://seehome.cn/
46,Mabaoying,Mabaoying is an overseas intermediary service provider for kindergartens.,https://res.cloudinary.com/crunchbase-production/image/upload/hfaz7ldvhfrgpsluediw,"Beijing, China",No information,Education,Education-Other,http://www.mabaoying.cn/
47,WXY,PR service firm for blockchain,https://res.cloudinary.com/crunchbase-production/image/upload/jrbsimhdzfoegejhd2pw,"Beijing, China",No information,Fintech,Cryptocurrency,https://www.wxycon.com/
49,Huiyizhuo,Huiyizhuo is an online visual team collaboration tool.,https://res.cloudinary.com/crunchbase-production/image/upload/salav6am4hprmniqks7b,"Beijing, China",No information,Software and Data,Enterprise Technology,https://www.huiyizhuo.com/
50,Lightlytics,Deploy &amp; run cloud infrastructure with confidence.,https://res.cloudinary.com/crunchbase-production/image/upload/rlxtizgvlspacsfg9m8z,"Tel Aviv-Yafo, Israel",No information,Software and Data,Cloud,https://www.lightlytics.com
51,clickto.,Platform for managing and running virtual programs,https://res.cloudinary.com/crunchbase-production/image/upload/zjcqurhum7hshvoxe2sv,"Tel Aviv-Yafo, Israel",No information,Social & Leisure,Entertainment,https://clickto.live
52,LittleOne.Care,"Personalized App &amp; tools to recognize the baby&rsquo;s reason for crying, and improve their safety, wellbeing, development and happiness.",https://res.cloudinary.com/crunchbase-production/image/upload/efug3tqww1m6fxjxl6o4,"Tel Aviv-Yafo, Israel",No information,Social & Leisure,Communities,https://www.littleone.care/
53,Classiq Technologies,Enabling Development Of Quantum Algorithms,https://res.cloudinary.com/crunchbase-production/image/upload/kkfbz70bet0un8knklom,"Tel Aviv-Yafo, Israel",No information,Software and Data,Artificial Intelligence,https://www.classiq.io/
54,INCRMNTAL,INCRMNTAL is an incrementality testing software for the post IDFA/GAID world.,https://res.cloudinary.com/crunchbase-production/image/upload/na6rujhbpnsjnrs06e0f,"Tel Aviv-Yafo, Israel",No information,Marketing & Sales,Adtech,https://www.incrmntal.com
56,Suridata.ai,Suridata.ai specializes in helping organizations gain visibility and obtain control over their sensitive data,https://res.cloudinary.com/crunchbase-production/image/upload/pssfbyxldsoyba2ai5vg,"Tel Aviv-Yafo, Israel",No information,Software and Data,Artificial Intelligence,https://www.suridata.ai
57,Adaptive Shield,Adaptive Shield is a developer of a security posture management platform used to help businesses manage their cloud services.,https://res.cloudinary.com/crunchbase-production/image/upload/nnhrstvxsppikefeqsqi,"Tel Aviv-Yafo, Israel",No information,Software and Data,Enterprise Technology,https://www.adaptive-shield.com/
59,Mitiga,Reshaping Breach Readiness and Response in the Cloud,https://res.cloudinary.com/crunchbase-production/image/upload/dy8j6ef5cf4sjzv4sfje,"Tel Aviv-Yafo, Israel",No information,Software and Data,Cloud,https://www.mitiga.io
60,Magico,An Apple Watch app that allows you to control your TV with simple hand gestures.,https://res.cloudinary.com/crunchbase-production/image/upload/fi9ldi0wxbis2j1iyg3v,"Tel Aviv-Yafo, Israel",No information,Software and Data,Software,https://www.magico.ai/
61,Substrata,Innovative Social Signal Processing Technology to Fuel the Business World of Tomorrow,https://res.cloudinary.com/crunchbase-production/image/upload/lonczyc5kxigf4vkqhye,"Tel Aviv-Yafo, Israel",No information,Software and Data,Artificial Intelligence,https://substrata.me/
62,F4NTEC,F4NTEC Simplifies Fan Merchandise Commerce for IP&rsquo;S,https://res.cloudinary.com/crunchbase-production/image/upload/t4f1ykyvqdlgxlrrh7i6,"Tel Aviv-Yafo, Israel",No information,Ecommerce & Retail,Ecommerce,http://f4ntec.com/
63,Clanz,"Pioneering, audio-based solution to detect increased risk of maltreatment of vulnerable, helpless individuals.",https://res.cloudinary.com/crunchbase-production/image/upload/zgscw9mhj755bpslmrym,"Tel Aviv-Yafo, Israel",No information,Social & Leisure,Communities,http://clanz.io
65,Satori Cyber,"Satori Cyber provides data-flow visibility with transparent, secure &amp; compliant data access across all data stores.",https://res.cloudinary.com/crunchbase-production/image/upload/ieeolphs3qngbwfzc7dh,"Tel Aviv-Yafo, Israel",No information,Software and Data,Cloud,https://satoricyber.com/
66,Squadded,Squadded is a social e-commerce solution that makes shopping together an online experience to improve engagement and conversion.,https://res.cloudinary.com/crunchbase-production/image/upload/bpgjiwuwng8sgabfn4yg,"Tel Aviv-Yafo, Israel",No information,Software and Data,Apps,https://www.squadded.co/
67,Scalez,Conversational AI Platforms for Personalized Expert Advice Experiences,https://res.cloudinary.com/crunchbase-production/image/upload/vhn4t5iaft9kbq6wbeql,"Tel Aviv-Yafo, Israel",No information,Software and Data,Artificial Intelligence,http://www.scalez.ai
68,Cycode,"The first source code control, detection, and response solution for visibility and protection across code repositories.",https://res.cloudinary.com/crunchbase-production/image/upload/h0stpqffuaoyhvgruu5r,"Tel Aviv-Yafo, Israel",No information,Software and Data,Cybersecurity,https://cycode.com/
70,CareerLab,AI-driven talent sourcing &amp; career development platform,https://res.cloudinary.com/crunchbase-production/image/upload/rat0mfcnxlidswj323a2,"Tel Aviv-Yafo, Israel",No information,Software and Data,Enterprise Technology,https://jobplanner.co.il
71,Arti.tv,"Arti.tv is a cloud-based solution that gives online storytellers the opportunity to create, design, and deliver augmented-reality stories.",https://res.cloudinary.com/crunchbase-production/image/upload/lcodd5a0grwhinzkct4x,"Tel Aviv-Yafo, Israel",No information,Software and Data,VR/AR,https://www.arti.tv
72,Cyolo,Cyolo provides ID access control to connect with cyberspace in a single SaaS solution.,https://res.cloudinary.com/crunchbase-production/image/upload/urpembkgdxndwt0clwfl,"Tel Aviv-Yafo, Israel",No information,Software and Data,Cybersecurity,https://cyolo.co/
73,bamya,A management software for food entrepreneurs from all over the world.,https://res.cloudinary.com/crunchbase-production/image/upload/oqqr1oufddtfgjoaesq6,"Tel Aviv-Yafo, Israel",No information,Software and Data,SaaS,https://bamya.io
75,TechBehemoths,"TechBehemoths is the most innovative platform to connect Projects with reputable IT Companies. It simplifies your efforts in finding the best matching and efficient IT companies, regardless of their location and size, in a matter of minutes. Effortless and with fun.",https://res.cloudinary.com/sblink/w_64/lbf1jm8zjqp3jesrrwzk,"Berlin, Germany",Idea/MVP/Beta,Social & Leisure,Communities,https://techbehemoths.com/
76,TextCortex AI,"TextCortex AI writes your Product Descriptions in 3 seconds. All it needs is the product title and the category of the product that you are selling. After this information is given, TextCortex generates 5 different options to choose from.",https://res.cloudinary.com/sblink/w_64/h9oubv3l6gttp4apslbu,"Berlin, Germany",Idea/MVP/Beta,Software and Data,Software,https://app.textcortex.com
77,QUIN,QUIN is a developer of technology-based system used in specializing algorithmic investment consulting.,https://res.cloudinary.com/crunchbase-production/image/upload/pmzdnwjluzq66ofv5m8b,"Berlin, Germany",No information,Fintech,Financial Services,https://www.getquin.com/
78,HYRE,HYRE enables top talents and firms to work together flexibly and on-demand through technology and powerful matching algorithms,https://res.cloudinary.com/crunchbase-production/image/upload/kt0ipsryzpzbr4hq7fzy,"Berlin, Germany",No information,Education,Education-Other,https://hyretalents.com/
79,Amie,The joyful productivity app,https://res.cloudinary.com/crunchbase-production/image/upload/xhfetynzutmvwgdlfpll,"Berlin, Germany",No information,Software and Data,Apps,https://amie.so/
80,Dive,Dive is a mobile live-streaming platform where creators anywhere in the world receive requests and get rewarded by fans.,https://res.cloudinary.com/crunchbase-production/image/upload/pcxl2ykdi1x3su9ymyqa,"Berlin, Germany",No information,Software and Data,Apps,https://diveee.com
81,Zag City,Zag City is a PropTech platform that offers innovative rental solutions in residential real estate.,https://res.cloudinary.com/crunchbase-production/image/upload/p1cp0o9cmrunil5hvkwt,"Berlin, Germany",No information,Fintech,Financial Services,https://zag.city/
82,CooperHire,Tech recruiting platform powered by independent recruiters,https://res.cloudinary.com/crunchbase-production/image/upload/gj64sgwa45e7itoveimx,"Berlin, Germany",No information,Software and Data,Enterprise Technology,https://cooperhire.io
83,Razor Group,Razor is a new-age global consumer holding. We partner with e-commerce merchants to acquire and scale winning brands.,https://res.cloudinary.com/crunchbase-production/image/upload/roh62l5aixkxff2klz7f,"Berlin, Germany",No information,Ecommerce & Retail,Ecommerce,https://razor-group.com
85,Wonder,Wonder is a virtual space where people can meet and talk.,https://res.cloudinary.com/crunchbase-production/image/upload/gij7qmvjrlpf2cferino,"Berlin, Germany",No information,Software and Data,Software,https://www.wonder.me/
86,Dance,Dance is an e-bike subscription service where users pay a monthly fee that covers their bikes and provides an all-inclusive support package.,https://res.cloudinary.com/crunchbase-production/image/upload/lz7xj5rrach44a5qhbfn,"Berlin, Germany",No information,Transportation,Automotive,https://www.dance.co/
87,Apheris AI,Apheris AI is unlocking data insights via federated and privacy preserving data analytics.,https://res.cloudinary.com/crunchbase-production/image/upload/hjnpfjxuelhiyj6ceqvh,"Berlin, Germany",No information,Software and Data,Data Analytics,https://www.apheris.com/
88,Klima,Klima is a provider of CO2 offsetting services used to reverse the effects of climate change.,https://res.cloudinary.com/crunchbase-production/image/upload/g612zczmit76to2owelc,"Berlin, Germany",No information,Energy & Environment,Energy & Environment-Other,https://getklima.com/
90,Strive School,Strive School is a fully remote learning program that lets students master full-stack technologies and pay only after getting hired.,https://res.cloudinary.com/crunchbase-production/image/upload/uvda9a7ykz5pcfvcitz1,"Berlin, Germany",No information,Software and Data,Apps,https://strive.school/
93,Automate Estate,buy and sell real estate with the click of a button,https://res.cloudinary.com/crunchbase-production/image/upload/z3ziovtk32g0pdvpi8y2,"Berlin, Germany",No information,Software and Data,Data Analytics,https://www.automate-estate.com
94,conductiv.ai,conductiv.ai combines machine learning with physics-based simulation to maximize production yield for precision manufacturing.,https://res.cloudinary.com/crunchbase-production/image/upload/wijef5zaayjc1kzurqpz,"Berlin, Germany",No information,Software and Data,Artificial Intelligence,https://www.conductiv.ai
95,Defudger,Media manipulation detection with AI and blockchain,https://res.cloudinary.com/crunchbase-production/image/upload/q7gn5avhgac60pmwdy3h,"Berlin, Germany",No information,Software and Data,Artificial Intelligence,http://defudger.com
96,rvolt.,Your smart home sustainability platform.,https://res.cloudinary.com/crunchbase-production/image/upload/pyfk4tm2yxabbegkrtsr,"Berlin, Germany",No information,Energy & Environment,Clean Energy,https://rvolt.io
97,ecoworks,"ecoworks uses industrial pre-fabrication, digital processes, and highly efficient energy systems.",https://res.cloudinary.com/crunchbase-production/image/upload/qa0hncndrnwdu9cnwub3,"Berlin, Germany",No information,Education,Education-Other,https://www.ecoworks.tech/
99,felmo,Redefining pet health care,https://res.cloudinary.com/crunchbase-production/image/upload/nnr4f5rop1vc63d2xmhj,"Berlin, Germany",No information,Health,Health Care,https://felmo.de
100,Recognize Technologies,The company is developing a multifunctional vehicle registration plate recognition system. Developer of a hardware and software complex for monitoring traffic and fixing traffic violations,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,SaaS,https://www.recognize.ru/
102,Recuper,"Developer of technologies for processing waste (solid household, industrial, agricultural) into heat and electricity, liquid fuel and sorbents.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software,http://www.recuper.pro/
103,Charge your car,Developer of an application with geolocation of charging stations for electric vehicles with the ability to pay from a smartphone.,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software and Data-Other,https://chargeyourcar.ru
104,Verahim,The company is developing a technology for processing secondary raw materials of plant origin in the agro-industrial complex to obtain high-protein additives in feed and compound feed.,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Hardware & IoT,Manufacturing,http://www.veraxim.info/
105,Digital Alliance,"The company brings together independent software developers, manufacturers of microelectronics, analytical and research organizations that create science-intensive products and solutions",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Social & Leisure,Communities,http://digitalliance.ru/
106,Toweco,"Internet reviews aggregator. Collects consumer opinions about companies from all over the Internet, stores reviews on the platform and uses artificial intelligence to determine their reliability.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Data Analytics,https://toweco.ru/
107,HY Test,The company produces monoclonal antibodies and antigens that are used as key components of in vitro diagnostic kits.,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software and Data-Other,https://hytest.ru
108,ORION Sistema,"The company provides solutions in the field of data analysis, machine learning and information security.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Data Analytics,https://www.orionsistema.com
109,IANS,Research and production company. Develops and implements technologies and systems to ensure the safety and efficiency of flights of manned and unmanned aerial vehicles for civil aviation.,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software,https://www.ians.aero/
110,Evocargo,The company develops and implements logistic vertically integrated services using electric unmanned vehicles of its own production.,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Transportation,Logistics,https://evocargo.com/
111,Arkon Construction,"The company is engaged in the development of equipment for construction 3D printing, the development of specialized materials for construction 3D printing, the provision of services for the construction of buildings, elements of engineering communications and concrete goods.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Hardware & IoT,3D Printing,https://arkon3d.ru/
112,HARZ Labs,"The company is engaged in the production of materials for 3D printing. Offers products for DLP / LCD, SLA, CJP and other technologies.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Hardware & IoT,3D Printing,https://harzlabs.com/
113,MG3D,"A company specializing in modern materials processing methods, including 3D printing, laser cutting, milling, design and printing.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Hardware & IoT,3D Printing,https://mg3d.ru/
116,SBT,"The company is a developer and manufacturer of systems and high-tech equipment for wireless communication, and also carries out developments by order of manufacturing plants",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software and Data-Other,http://www.sbtcom.ru/
117,New Engineering Technologies,"The company specializes in the supply, installation, maintenance and verification of various types of measuring instruments. Developer of the new generation ERA-GLONASS / eCall subscriber device testing system.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software,https://www.neweng.ru
118,B4Com Tech,"The company develops and manufactures computers, telecommunications equipment, high-tech devices using SDN / IoT / 4G / 5G / 6LoWPAN technologies and data transmission solutions.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,SaaS,https://b4com.tech/
120,Fortuna Army,Development of a comprehensive model of virtual tests in order to design a promising 5.6 mm sports pistol.,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,VR/AR,https://fortuna.army/
121,Interglobal,"The main profile of the company is the development of algorithms, artificial intelligence systems and software based on them in the field of sports and sports medicine.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Artificial Intelligence,http://interglob.su/
122,Vipered,Developer of the program &quot;Neural network system for assessing the performance of sports exercises based on a neural network and teaching sports exercises.&quot;,/template/v3/images/no_logo.png,"Moscow, Russia",No information,Software and Data,Software,https://viperedproject.com/
123,Success Rockets,"The developer of space transport: ultralight rockets, tugs for low-earth orbits and interplanetary missions, satellite platforms of small spacecraft of three modifications and constellations of satellites for data transmission.",/template/v3/images/no_logo.png,"Moscow, Russia",No information,Hardware & IoT,Hardware,https://successrockets.ru/
124,GiftMyTrip,"GiftMyTrip is an online hotel booking platform generating donations for nonprofits at no extra cost to the traveler / users. Every time, a hotel booking is made, GiftMyTrip generates a donation up to 5% of the booking amount and instantly donates it to selected nonprofits.",https://res.cloudinary.com/sblink/w_64/do6js585b3jt3hcmyjmh,"Bangalore, India",Idea/MVP/Beta,Social & Leisure,Travel,https://www.giftmytrip.com
125,PILA Deep Mind,"PILA is a self-sustained open innovation organic business with its Innovation Wing and Strategic Technology Partnership wing offering Domain agnostic Solutions and Services in the fields of Artificial Intelligence, Blockchain, Robotics, Automation, and Data Analytics.",https://res.cloudinary.com/sblink/w_64/n2iwsq5w4bibon4zmpse,"Bangalore, India",Idea/MVP/Beta,Software and Data,Artificial Intelligence,http://pila.ai/
127,Ather Energy,Ather Energy has built India's first intelligent electric scooter. We manufacture two scooter models at present - 450 and 450X. We have also established an electric vehicle charging network called AtherGrid.,https://res.cloudinary.com/sblink/w_64/2de340756cb4c8a82b0d92709d8be334,"Bangalore, India",Idea/MVP/Beta,Transportation,Automotive,http://atherenergy.com
128,AdaptNXT Technology Solutions,"AdaptNXT is 'boutique technology solutions' organization, operating from Bangalore. We closely engage with our customers, understand the requirements well and create technology solutions which directly increases their bottomline and they love to work on.",https://res.cloudinary.com/sblink/w_64/c20284e3133b8a9a96322fc828cce3b2,"Bangalore, India",Idea/MVP/Beta,Software and Data,Web Development,https://adaptnxt.com
129,Encon Engineers,Harmonic Filter Manufacturer | We manufacture harmonic filter offering the best profitable functions to the industry for troubleshooting failure permitting full load plant operation and energy saving.,https://res.cloudinary.com/sblink/w_64/quwhdnccgers8uvpbjt3,"Bangalore, India",Idea/MVP/Beta,Energy & Environment,Clean Energy,https://enconengineers.in/
130,appveen,appveen data.stack is a complete data-centric API-first back-end as a service platform for modern IT teams.,/template/v3/images/no_logo.png,"Bangalore, India",Idea/MVP/Beta,Software and Data,SaaS,https://www.appveen.com
131,AssureShift,AssureShift is a verified moving service referral portal in India. Here we provide genuine moving services from our professional movers. We have added all our movers manually before adding them in to our portal.,https://res.cloudinary.com/sblink/w_64/zafspcz1wbvr8efncqi8,"Bangalore, India",Idea/MVP/Beta,Transportation,Logistics,https://www.assureshift.in/
132,OneHash.ai,"We bring you OneHash, a SaaS based integrated CRM which Streamlines and automates all the functions of your business CRM on a single platform. OneHash is a cost effective, powerful and customizable growth engine.",https://res.cloudinary.com/sblink/w_64/mjo8bywwajqbl9bxjokn,"Bangalore, India",Idea/MVP/Beta,Marketing & Sales,CRM,https://www.onehash.ai
134,Settl.,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience.,https://res.cloudinary.com/crunchbase-production/image/upload/pmhv8tygb0nr9ustnpxq,"Bangalore, India",No information,Social & Leisure,Communities,https://thesettl.com
135,Vegrow,"Vegrow is a tech platform partnering with farmers, aggregating supply and selling to organized demand through partnership.",https://res.cloudinary.com/crunchbase-production/image/upload/lhcpqbgwgr8rhzlndujo,"Bangalore, India",No information,Foodtech,Agtech,https://www.vegrow.in/
137,Apna,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,https://res.cloudinary.com/crunchbase-production/image/upload/e5jvlklnfso3jvn6qmxg,"Bangalore, India",No information,Software and Data,Enterprise Technology,https://apna.co/
